channel,spec,coefficient,ci_low,ci_high
TikTok,Spec A (OLS),0.3619091700305098,0.34510474160426663,0.3833391816485504
Facebook,Spec A (OLS),0.4337052379819301,0.39957206207550827,0.4696858357878607
Google Ads,Spec A (OLS),0.9084367414937298,0.8067664329550486,1.0078325679946338
TikTok,Spec B (NNLS),0.4084467815121622,0.3783248740185807,0.4386560776989863
Facebook,Spec B (NNLS),0.620776873498526,0.5733656883314,0.6704702129604406
Google Ads,Spec B (NNLS),1.7326103363870757,1.6523206929861616,1.8054853533965347
