risk_tier,n,avg_loan,default_rate,avg_rate,avg_term,expected_loss,expected_interest,net_expected_value
A: Lowest rate,329441,13733.615351458986,0.07819913125567249,7.703311123994888,37.24020993136859,644.3740736901959,3283.168654213949,2382.053643998367
B,323387,13235.672275014147,0.1562709694576467,11.408548210039365,39.520141502286734,1241.0108027040942,4972.944724977413,2954.807029041808
C,325373,14146.714078918656,0.22540899214132704,14.258280219932201,42.57259207125361,1913.2779375843452,7156.020385777138,3629.7111052919777
D: Highest rate,325437,16552.26341811165,0.3442939800944576,19.715959986110985,47.895537385116015,3419.30679107613,13025.341593527153,5121.488103125675
